Makespan(小时),Throughput(Job/小时),Throughput(数量/小时),工站,已排Job数,平均加工时间(分钟),平均流动时间(分钟),平均等待时间(分钟),最大等待时间(分钟),未排Job数,未排率(%),算法,设备平均利用率(%)
2.66,0.75,3891.53,AOI,2,88.16,88.16,0.0,0.0,0,0.0,Priority_LFF_SPT,36.9
9.09,0.44,6242.76,Assembly,4,274.14,274.14,0.0,0.0,0,0.0,Priority_LFF_SPT,43.02
1.7,0.59,3800.0,CLEANOVEN,1,102.3,102.3,0.0,0.0,0,0.0,Priority_LFF_SPT,100.0
62.72,0.64,10141.74,CP,40,312.9,630.34,317.44,1925.89,0,0.0,Priority_LFF_SPT,5.07
26.21,2.17,35363.65,DB1,57,266.84,266.84,0.0,0.0,0,0.0,Priority_LFF_SPT,7.72
4.93,4.87,23108.01,DB2,24,66.38,66.38,0.0,0.0,0,0.0,Priority_LFF_SPT,8.18
89.25,0.59,10441.79,DS,53,357.35,1038.22,680.87,1980.49,0,0.0,Priority_LFF_SPT,49.37
4.19,0.95,4314.8,Dispense,4,75.35,79.72,4.38,11.66,0,0.0,Priority_LFF_SPT,30.18
13.82,0.51,4318.53,FrameCleaning,7,214.57,373.63,159.06,285.55,0,0.0,Priority_LFF_SPT,65.93
25.26,1.23,11812.28,MD,31,164.51,204.69,40.19,285.08,0,0.0,Priority_LFF_SPT,5.96
5.89,0.51,1394.34,N2,3,117.36,155.64,38.29,61.17,0,0.0,Priority_LFF_SPT,100.0
112.53,0.41,4965.43,NT,46,258.23,787.16,528.94,904.07,0,0.0,Priority_LFF_SPT,29.73
1.03,3.87,5752.45,OVEN,4,32.01,32.9,0.9,3.6,0,0.0,Priority_LFF_SPT,53.38
83.01,0.66,8451.23,OVEN1,55,313.91,1027.3,713.38,1568.9,0,0.0,Priority_LFF_SPT,37.18
66.54,0.68,9729.02,OVEN2,45,332.37,1232.09,899.72,1649.79,0,0.0,Priority_LFF_SPT,58.7
26.41,1.25,12314.72,OVEN3,33,197.31,486.42,289.11,1189.71,0,0.0,Priority_LFF_SPT,56.56
0.32,6.26,4200.0,OVEN4,2,9.59,9.89,0.3,0.6,0,0.0,Priority_LFF_SPT,75.84
84.47,0.51,5199.31,PKG,43,223.31,1884.22,1660.9,4009.18,0,0.0,Priority_LFF_SPT,63.49
1.95,2.57,4600.0,PLASMA2,5,23.36,80.65,57.29,90.82,0,0.0,Priority_LFF_SPT,100.0
20.0,0.2,1795.8,PLASMA3,4,299.27,675.53,376.27,983.93,0,0.0,Priority_LFF_SPT,50.0
165.17,0.21,3261.18,QC,35,271.59,5419.77,5148.19,9158.86,0,0.0,Priority_LFF_SPT,100.0
0.0,0.0,,REFLOW_240,0,0.0,0.0,0.0,0.0,15,100.0,Priority_LFF_SPT,0.0
0.0,0.0,,REFLOW_260,0,0.0,0.0,0.0,0.0,1,100.0,Priority_LFF_SPT,0.0
87.54,0.06,2209.54,REFLOW_SMT,5,1459.14,1466.32,7.18,35.88,0,0.0,Priority_LFF_SPT,21.9
85.84,0.45,3945.5,SC,39,124.06,2679.55,2555.49,4876.61,0,0.0,Priority_LFF_SPT,100.0
0.01,169.23,2200.0,TESTdown,2,0.35,0.57,0.22,0.44,0,0.0,Priority_LFF_SPT,100.0
67.01,0.67,10500.51,TP,45,287.41,1300.92,1013.51,2000.2,0,0.0,Priority_LFF_SPT,52.24
17.67,2.09,25511.17,TS,37,195.44,195.44,0.0,0.0,0,0.0,Priority_LFF_SPT,8.15
3.95,0.76,7445.0,TS1,3,195.31,195.31,0.0,0.0,0,0.0,Priority_LFF_SPT,41.16
0.0,0.0,,TestMarks,0,0.0,0.0,0.0,0.0,1,100.0,Priority_LFF_SPT,0.0
19.83,1.87,19518.88,VI,37,231.42,305.03,73.61,208.22,0,0.0,Priority_LFF_SPT,43.39
45.06,1.24,17238.4,WB1,56,207.84,207.84,0.0,0.0,0,0.0,Priority_LFF_SPT,3.74
23.15,1.9,17901.1,WB2,44,148.15,148.15,0.0,0.0,0,0.0,Priority_LFF_SPT,4.79
1456.17,0.23,1306.89,WF,333,244.92,44150.47,43905.55,86696.81,0,0.0,Priority_LFF_SPT,100.0
175.03,0.26,4307.91,WM,45,218.55,3708.94,3490.39,9058.51,0,0.0,Priority_LFF_SPT,100.0
8.08,0.49,3432.42,XRAY,4,163.54,301.01,137.46,244.91,0,0.0,Priority_LFF_SPT,44.97
