Makespan(小时),Throughput(Job/小时),Throughput(数量/小时),工站,已排Job数,平均加工时间(分钟),平均流动时间(分钟),平均等待时间(分钟),最大等待时间(分钟),未排Job数,未排率(%),算法,算法运行时间(秒),设备平均利用率(%)
2.25,0.89,4600.0,AOI,2,67.38,75.89,8.51,17.02,0,0.0,SA,5.0,33.33
9.09,0.44,6242.76,Assembly,4,274.14,274.14,0.0,0.0,0,0.0,SA,5.01,43.02
1.7,0.59,3800.0,CLEANOVEN,1,102.3,102.3,0.0,0.0,0,0.0,SA,0.02,100.0
62.72,0.64,10141.74,CP,40,308.9,623.53,314.63,1925.89,0,0.0,SA,5.01,5.01
20.97,2.72,44202.28,DB1,57,221.11,228.29,7.18,106.72,0,0.0,SA,5.07,8.17
4.57,5.26,24953.25,DB2,24,64.69,64.88,0.19,3.85,0,0.0,SA,5.02,8.49
48.04,1.1,19397.65,DS,53,316.46,1095.42,778.96,2177.66,0,0.0,SA,5.01,81.77
3.13,1.28,5773.77,Dispense,4,63.37,67.71,4.35,12.99,0,0.0,SA,5.01,34.0
9.81,0.71,6082.66,FrameCleaning,7,165.42,339.27,173.85,287.66,0,0.0,SA,5.0,73.39
20.22,1.53,14756.4,MD,31,138.06,183.28,45.22,285.08,0,0.0,SA,5.02,6.43
5.89,0.51,1394.34,N2,3,117.36,155.64,38.29,61.17,0,0.0,SA,5.01,100.0
57.3,0.8,9751.94,NT,46,191.24,672.43,481.19,1012.55,0,0.0,SA,5.03,48.44
0.76,5.28,7835.3,OVEN,4,23.38,27.61,4.24,16.96,0,0.0,SA,5.01,53.74
40.19,1.37,17454.45,OVEN1,55,258.32,1100.01,841.69,1859.25,0,0.0,SA,5.02,64.35
43.58,1.03,14853.36,OVEN2,45,285.38,1223.08,937.69,1929.83,0,0.0,SA,5.01,79.21
20.26,1.63,16050.48,OVEN3,33,170.58,493.57,323.0,1009.35,0,0.0,SA,5.03,64.51
0.32,6.26,4200.0,OVEN4,2,9.59,9.89,0.3,0.6,0,0.0,SA,5.0,75.84
79.43,0.54,5529.79,PKG,43,218.65,1791.56,1572.91,4189.86,0,0.0,SA,5.05,66.12
1.95,2.57,4600.0,PLASMA2,5,23.36,80.65,57.29,90.82,0,0.0,SA,5.02,100.0
20.0,0.2,1795.8,PLASMA3,4,299.27,675.53,376.27,983.93,0,0.0,SA,5.02,50.0
165.17,0.21,3261.18,QC,35,271.59,5419.77,5148.19,9158.86,0,0.0,SA,5.01,100.0
0.0,0.0,,REFLOW_240,0,0.0,0.0,0.0,0.0,15,100.0,SA,5.0,0.0
0.0,0.0,,REFLOW_260,0,0.0,0.0,0.0,0.0,1,100.0,SA,0.01,0.0
24.3,0.21,7960.75,REFLOW_SMT,5,585.87,628.67,42.8,128.96,0,0.0,SA,5.0,36.13
85.84,0.45,3945.5,SC,39,124.06,2679.55,2555.49,4876.61,0,0.0,SA,5.0,100.0
0.01,169.23,2200.0,TESTdown,2,0.35,0.57,0.22,0.44,0,0.0,SA,0.02,100.0
53.65,0.84,13115.13,TP,45,272.81,1303.98,1031.17,2041.76,0,0.0,SA,5.02,62.7
14.98,2.47,30089.12,TS,37,166.78,173.38,6.6,66.38,0,0.0,SA,5.07,8.48
3.79,0.79,7761.6,TS1,3,141.21,188.72,47.51,142.53,0,0.0,SA,5.0,31.02
0.0,0.0,,TestMarks,0,0.0,0.0,0.0,0.0,1,100.0,SA,0.01,0.0
16.64,2.22,23256.91,VI,37,186.65,273.39,86.74,327.69,0,0.0,SA,5.03,43.66
42.04,1.33,18475.97,WB1,56,185.67,189.87,4.2,54.0,0,0.0,SA,5.13,3.74
18.0,2.44,23029.25,WB2,44,129.42,132.39,2.97,53.05,0,0.0,SA,5.13,5.39
1456.17,0.23,1306.89,WF,333,244.92,44150.47,43905.55,86696.81,0,0.0,SA,5.03,100.0
175.03,0.26,4307.91,WM,45,218.55,3708.94,3490.39,9058.51,0,0.0,SA,5.02,100.0
5.97,0.67,4645.12,XRAY,4,137.55,288.01,150.46,296.9,0,0.0,SA,5.01,51.19
